Date,Amount,Category,Name,Account,Type
23/01/2026,438.59,Housing,,Main account,Expense
23/01/2026,24.48,Extras,Robinhood,Main account,Expense
24/01/2026,"6,108.10",Extras,FTI Delta,Main account,Income
24/01/2026,243.66,Utilities,Dewa,Main account,Expense
24/01/2026,64.38,Groceries,,Main account,Expense
24/01/2026,"6,000.00",Salary,,Main account,Income
24/01/2026,37.04,Food,,Main account,Expense
25/01/2026,30.79,Food,,Main account,Expense
25/01/2026,99.59,Extras,Laundry duvets,Main account,Expense
25/01/2026,53.61,Utilities,Car wash,Main account,Expense
25/01/2026,185.63,Extras,Washing machine,Main account,Expense
26/01/2026,212.45,Extras,,Main account,Income
26/01/2026,227.06,Going out,,Main account,Expense
26/01/2026,116.96,Food,,Main account,Expense
26/01/2026,165.69,Transportation,,Main account,Expense
27/01/2026,96.49,Shopping,,Main account,Expense
27/01/2026,169.97,Going out,,Main account,Expense
28/01/2026,119.51,Going out,,Main account,Expense
28/01/2026,82.84,Transportation,,Main account,Expense
29/01/2026,48.73,Shopping,,Main account,Expense
29/01/2026,24.40,Food,,Main account,Expense
01/02/2026,50.03,Extras,PS Game,Main account,Expense
01/02/2026,35.07,Food,,Main account,Expense
01/02/2026,342.23,Utilities,Dewa,Main account,Expense
02/02/2026,34.19,Extras,Wrapping paper,Main account,Expense
02/02/2026,233.09,Utilities,Du,Main account,Expense
02/02/2026,25.21,Groceries,,Main account,Expense
02/02/2026,47.19,Food,,Main account,Expense
03/02/2026,399.27,Housing,,Main account,Expense
04/02/2026,214.61,Groceries,,Main account,Expense
04/02/2026,248.12,Shopping,,Main account,Expense
05/02/2026,49.40,Groceries,,Main account,Expense
05/02/2026,163.89,Extras,Amazon,Main account,Expense
06/02/2026,399.27,Housing,,Main account,Expense
06/02/2026,52.24,Food,,Main account,Expense
06/02/2026,114.08,Transportation,,Main account,Expense
06/02/2026,25.78,Food,,Main account,Expense
06/02/2026,114.08,Transportation,,Main account,Expense
07/02/2026,26.09,Food,,Main account,Expense
07/02/2026,29.20,Food,,Main account,Expense
07/02/2026,66.19,Food,,Main account,Expense
07/02/2026,171.12,Shopping,,Main account,Expense
08/02/2026,399.27,Housing,,Main account,Expense
09/02/2026,30.71,Groceries,,Main account,Expense
09/02/2026,399.27,Housing,,Main account,Expense
09/02/2026,109.48,Groceries,,Main account,Expense
10/02/2026,37.98,Groceries,,Main account,Expense
10/02/2026,399.27,Housing,,Main account,Expense
11/02/2026,550.22,Food,,Main account,Expense
12/02/2026,45.49,Groceries,,Main account,Expense
12/02/2026,399.27,Housing,,Main account,Expense
13/02/2026,171.12,Transportation,,Main account,Expense
13/02/2026,6.22,Extras,,Main account,Expense
13/02/2026,42.38,Extras,PS5,Main account,Expense
13/02/2026,29.66,Food,,Main account,Expense
13/02/2026,30.80,Food,,Main account,Expense
13/02/2026,51.33,Food,,Main account,Expense
14/02/2026,399.27,Housing,,Main account,Expense
14/02/2026,32.63,Food,,Main account,Expense
14/02/2026,42.88,Food,,Main account,Expense
14/02/2026,22.20,Food,,Main account,Expense
15/02/2026,74.15,Transportation,,Main account,Expense
15/02/2026,62.74,Transportation,,Main account,Expense
15/02/2026,151.33,Extras,Amazon,Main account,Expense
16/02/2026,75.29,Groceries,,Main account,Expense
16/02/2026,399.27,Housing,,Main account,Expense
16/02/2026,46.62,Extras,Haircut,Main account,Expense
17/02/2026,399.27,Housing,,Main account,Expense
17/02/2026,41.07,Transportation,,Main account,Expense
17/02/2026,13.84,Transportation,,Main account,Expense
18/02/2026,114.08,Groceries,,Main account,Expense
18/02/2026,35.07,Food,,Main account,Expense
18/02/2026,267.32,Going out,,Main account,Expense
19/02/2026,89.45,Transportation,,Main account,Expense
19/02/2026,177.96,Groceries,,Main account,Expense
19/02/2026,64.25,Groceries,,Main account,Expense
20/02/2026,399.27,Housing,,Main account,Expense
21/02/2026,23.64,Food,,Main account,Expense
21/02/2026,20.71,Food,,Main account,Expense
21/02/2026,399.27,Housing,,Main account,Expense
22/02/2026,51.87,Groceries,,Main account,Expense
22/02/2026,285.19,Shopping,,Main account,Expense
22/02/2026,148.30,Groceries,,Main account,Expense
23/02/2026,513.35,Housing,,Main account,Expense
23/02/2026,28.66,Extras,Robinhood,Main account,Expense
24/02/2026,75.36,Groceries,,Main account,Expense
24/02/2026,43.35,Food,,Main account,Expense
24/02/2026,"7,149.26",Extras,FTI Delta,Main account,Income
24/02/2026,285.19,Utilities,Dewa,Main account,Expense
24/02/2026,"6,000.00",Salary,,Main account,Income
25/02/2026,36.04,Food,,Main account,Expense
25/02/2026,116.56,Extras,Laundry duvets,Main account,Expense
25/02/2026,217.27,Extras,Washing machine,Main account,Expense
25/02/2026,62.74,Utilities,Car wash,Main account,Expense
26/02/2026,248.67,Extras,,Main account,Income
26/02/2026,193.93,Transportation,,Main account,Expense
26/02/2026,265.77,Going out,,Main account,Expense
26/02/2026,136.89,Food,,Main account,Expense
27/02/2026,112.94,Shopping,,Main account,Expense
27/02/2026,198.94,Going out,,Main account,Expense
28/02/2026,96.97,Transportation,,Main account,Expense
28/02/2026,57.04,Shopping,,Main account,Expense
28/02/2026,139.88,Going out,,Main account,Expense
28/02/2026,28.50,Food,,Main account,Expense
01/03/2026,44.45,Extras,PS Game,Main account,Expense
01/03/2026,31.15,Food,,Main account,Expense
01/03/2026,304.02,Utilities,Dewa,Main account,Expense
02/03/2026,41.92,Food,,Main account,Expense
02/03/2026,30.37,Extras,Wrapping paper,Main account,Expense
02/03/2026,22.40,Groceries,,Main account,Expense
02/03/2026,207.07,Utilities,Du,Main account,Expense
03/03/2026,354.69,Housing,,Main account,Expense
04/03/2026,220.41,Shopping,,Main account,Expense
04/03/2026,190.65,Groceries,,Main account,Expense
05/03/2026,43.88,Groceries,,Main account,Expense
05/03/2026,145.60,Extras,Amazon,Main account,Expense
06/03/2026,354.69,Housing,,Main account,Expense
06/03/2026,101.34,Transportation,,Main account,Expense
06/03/2026,101.34,Transportation,,Main account,Expense
06/03/2026,46.40,Food,,Main account,Expense
06/03/2026,22.90,Food,,Main account,Expense
07/03/2026,23.18,Food,,Main account,Expense
07/03/2026,58.80,Food,,Main account,Expense
07/03/2026,25.94,Food,,Main account,Expense
07/03/2026,152.01,Shopping,,Main account,Expense
08/03/2026,354.69,Housing,,Main account,Expense
09/03/2026,97.26,Groceries,,Main account,Expense
09/03/2026,27.28,Groceries,,Main account,Expense
09/03/2026,354.69,Housing,,Main account,Expense
10/03/2026,354.69,Housing,,Main account,Expense
10/03/2026,33.74,Groceries,,Main account,Expense
11/03/2026,488.78,Food,,Main account,Expense
12/03/2026,354.69,Housing,,Main account,Expense
12/03/2026,40.41,Groceries,,Main account,Expense
13/03/2026,152.01,Transportation,,Main account,Expense
13/03/2026,27.36,Food,,Main account,Expense
13/03/2026,5.52,Extras,,Main account,Expense
13/03/2026,37.65,Extras,PS5,Main account,Expense
13/03/2026,45.60,Food,,Main account,Expense
13/03/2026,26.35,Food,,Main account,Expense
14/03/2026,354.69,Housing,,Main account,Expense
14/03/2026,28.98,Food,,Main account,Expense
14/03/2026,19.72,Food,,Main account,Expense
14/03/2026,38.09,Food,,Main account,Expense
15/03/2026,134.44,Extras,Amazon,Main account,Expense
15/03/2026,65.87,Transportation,,Main account,Expense
15/03/2026,55.74,Transportation,,Main account,Expense
16/03/2026,66.88,Groceries,,Main account,Expense
16/03/2026,41.42,Extras,Haircut,Main account,Expense
16/03/2026,354.69,Housing,,Main account,Expense
17/03/2026,354.69,Housing,,Main account,Expense
17/03/2026,12.29,Transportation,,Main account,Expense
17/03/2026,36.48,Transportation,,Main account,Expense
18/03/2026,101.34,Groceries,,Main account,Expense
18/03/2026,31.15,Food,,Main account,Expense
18/03/2026,237.47,Going out,,Main account,Expense
19/03/2026,79.46,Transportation,,Main account,Expense
19/03/2026,158.09,Groceries,,Main account,Expense
19/03/2026,57.07,Groceries,,Main account,Expense
20/03/2026,354.69,Housing,,Main account,Expense
21/03/2026,21.00,Food,,Main account,Expense
21/03/2026,18.39,Food,,Main account,Expense
21/03/2026,354.69,Housing,,Main account,Expense
22/03/2026,131.74,Groceries,,Main account,Expense
22/03/2026,253.35,Shopping,,Main account,Expense
22/03/2026,46.08,Groceries,,Main account,Expense
23/03/2026,456.03,Housing,,Main account,Expense
23/03/2026,25.46,Extras,Robinhood,Main account,Expense
24/03/2026,38.51,Food,,Main account,Expense
24/03/2026,253.35,Utilities,Dewa,Main account,Expense
24/03/2026,"6,351.01",Extras,FTI Delta,Main account,Income
24/03/2026,66.95,Groceries,,Main account,Expense
24/03/2026,"6,000.00",Salary,,Main account,Income
25/03/2026,55.74,Utilities,Car wash,Main account,Expense
25/03/2026,32.01,Food,,Main account,Expense
25/03/2026,193.01,Extras,Washing machine,Main account,Expense
25/03/2026,103.55,Extras,Laundry duvets,Main account,Expense
26/03/2026,121.61,Food,,Main account,Expense
26/03/2026,220.90,Extras,,Main account,Income
26/03/2026,172.28,Transportation,,Main account,Expense
26/03/2026,236.09,Going out,,Main account,Expense
27/03/2026,100.33,Shopping,,Main account,Expense
27/03/2026,176.73,Going out,,Main account,Expense
28/03/2026,86.14,Transportation,,Main account,Expense
28/03/2026,124.26,Going out,,Main account,Expense
29/03/2026,50.67,Shopping,,Main account,Expense
29/03/2026,400.00,Food,,Main account,Expense
29/03/2026,300.00,Food,,Main account,Expense
29/03/2026,25.34,Food,,Main account,Expense
30/03/2026,400.00,Food,,Main account,Expense
31/03/2026,500.00,Food,,Main account,Expense
01/04/2026,44.88,Extras,PS Game,Main account,Expense
01/04/2026,31.45,Food,,Main account,Expense
01/04/2026,306.96,Utilities,Dewa,Main account,Expense
02/04/2026,209.07,Utilities,Du,Main account,Expense
02/04/2026,22.61,Groceries,,Main account,Expense
02/04/2026,30.67,Extras,Wrapping paper,Main account,Expense
02/04/2026,42.33,Food,,Main account,Expense
03/04/2026,358.12,Housing,,Main account,Expense
04/04/2026,192.49,Groceries,,Main account,Expense
04/04/2026,222.55,Shopping,,Main account,Expense
05/04/2026,300.00,Food,,Main account,Expense
05/04/2026,147.00,Extras,Amazon,Main account,Expense
05/04/2026,44.30,Groceries,,Main account,Expense
06/04/2026,23.12,Food,,Main account,Expense
06/04/2026,46.85,Food,,Main account,Expense
06/04/2026,358.12,Housing,,Main account,Expense
06/04/2026,102.32,Transportation,,Main account,Expense
06/04/2026,102.32,Transportation,,Main account,Expense
07/04/2026,153.48,Shopping,,Main account,Expense
07/04/2026,59.37,Food,,Main account,Expense
07/04/2026,26.19,Food,,Main account,Expense
07/04/2026,23.40,Food,,Main account,Expense
08/04/2026,358.12,Housing,,Main account,Expense
09/04/2026,27.54,Groceries,,Main account,Expense
09/04/2026,98.20,Groceries,,Main account,Expense
09/04/2026,358.12,Housing,,Main account,Expense
10/04/2026,34.06,Groceries,,Main account,Expense
10/04/2026,358.12,Housing,,Main account,Expense
11/04/2026,493.51,Food,,Main account,Expense
12/04/2026,40.81,Groceries,,Main account,Expense
12/04/2026,358.12,Housing,,Main account,Expense
13/04/2026,46.04,Food,,Main account,Expense
13/04/2026,26.60,Food,,Main account,Expense
13/04/2026,5.58,Extras,,Main account,Expense
13/04/2026,27.63,Food,,Main account,Expense
13/04/2026,38.01,Extras,PS5,Main account,Expense
13/04/2026,153.48,Transportation,,Main account,Expense
14/04/2026,358.12,Housing,,Main account,Expense
14/04/2026,29.26,Food,,Main account,Expense
14/04/2026,19.91,Food,,Main account,Expense
14/04/2026,38.46,Food,,Main account,Expense
15/04/2026,135.74,Extras,Amazon,Main account,Expense
15/04/2026,56.28,Transportation,,Main account,Expense
15/04/2026,66.51,Transportation,,Main account,Expense
16/04/2026,67.53,Groceries,,Main account,Expense
16/04/2026,41.82,Extras,Haircut,Main account,Expense
16/04/2026,358.12,Housing,,Main account,Expense
17/04/2026,36.84,Transportation,,Main account,Expense
17/04/2026,12.41,Transportation,,Main account,Expense
17/04/2026,358.12,Housing,,Main account,Expense
18/04/2026,102.32,Groceries,,Main account,Expense
18/04/2026,239.77,Going out,,Main account,Expense
18/04/2026,31.45,Food,,Main account,Expense
19/04/2026,80.23,Transportation,,Main account,Expense
19/04/2026,57.63,Groceries,,Main account,Expense
19/04/2026,159.62,Groceries,,Main account,Expense
20/04/2026,358.12,Housing,,Main account,Expense
21/04/2026,21.20,Food,,Main account,Expense
21/04/2026,358.12,Housing,,Main account,Expense
21/04/2026,18.57,Food,,Main account,Expense
22/04/2026,46.52,Groceries,,Main account,Expense
22/04/2026,255.80,Shopping,,Main account,Expense
22/04/2026,133.02,Groceries,,Main account,Expense
23/04/2026,460.44,Housing,,Main account,Expense
23/04/2026,25.70,Extras,Robinhood,Main account,Expense
24/04/2026,"4,000.00",Salary,FTI Delta,Main account,Income
24/04/2026,38.88,Food,,Main account,Expense
24/04/2026,255.80,Utilities,Dewa,Main account,Expense
24/04/2026,67.59,Groceries,,Main account,Expense
24/04/2026,"6,000.00",Salary,,Main account,Income
25/04/2026,300.00,Food,,Main account,Expense
25/04/2026,56.28,Utilities,Car wash,Main account,Expense
25/04/2026,104.55,Extras,Laundry duvets,Main account,Expense
25/04/2026,194.88,Extras,Washing machine,Main account,Expense
26/04/2026,"4,000.00",Salary,,Main account,Income
26/04/2026,122.78,Food,,Main account,Expense
26/04/2026,238.37,Going out,,Main account,Expense
26/04/2026,173.94,Transportation,,Main account,Expense
27/04/2026,101.30,Shopping,,Main account,Expense
27/04/2026,178.44,Going out,,Main account,Expense
28/04/2026,86.97,Transportation,,Main account,Expense
28/04/2026,125.46,Going out,,Main account,Expense
29/04/2026,500.00,Food,,Main account,Expense
29/04/2026,51.16,Shopping,,Main account,Expense
29/04/2026,25.58,Food,,Main account,Expense
30/04/2026,300.00,Food,,Main account,Expense
01/05/2026,43.86,Extras,PS Game,Main account,Expense
01/05/2026,30.74,Food,,Main account,Expense
01/05/2026,300.00,Utilities,Dewa,Main account,Expense
02/05/2026,204.33,Utilities,Du,Main account,Expense
02/05/2026,41.37,Food,,Main account,Expense
02/05/2026,29.97,Extras,Wrapping paper,Main account,Expense
02/05/2026,22.10,Groceries,,Main account,Expense
03/05/2026,350.00,Housing,,Main account,Expense
04/05/2026,188.13,Groceries,,Main account,Expense
04/05/2026,217.50,Shopping,,Main account,Expense
05/05/2026,43.30,Groceries,,Main account,Expense
05/05/2026,143.67,Extras,Amazon,Main account,Expense
06/05/2026,100.00,Transportation,,Main account,Expense
06/05/2026,100.00,Transportation,,Main account,Expense
06/05/2026,22.60,Food,,Main account,Expense
06/05/2026,45.79,Food,,Main account,Expense
06/05/2026,350.00,Housing,,Main account,Expense
07/05/2026,22.87,Food,,Main account,Expense
07/05/2026,58.02,Food,,Main account,Expense
07/05/2026,150.00,Shopping,,Main account,Expense
07/05/2026,25.60,Food,,Main account,Expense
08/05/2026,350.00,Housing,,Main account,Expense
09/05/2026,95.97,Groceries,,Main account,Expense
09/05/2026,350.00,Housing,,Main account,Expense
09/05/2026,26.92,Groceries,,Main account,Expense
10/05/2026,350.00,Housing,,Main account,Expense
10/05/2026,33.29,Groceries,,Main account,Expense
11/05/2026,482.32,Food,,Main account,Expense
12/05/2026,39.88,Groceries,,Main account,Expense
12/05/2026,350.00,Housing,,Main account,Expense
13/05/2026,45.00,Food,,Main account,Expense
13/05/2026,5.45,Extras,,Main account,Expense
13/05/2026,37.15,Extras,PS5,Main account,Expense
13/05/2026,27.00,Food,,Main account,Expense
13/05/2026,26.00,Food,,Main account,Expense
13/05/2026,150.00,Transportation,,Main account,Expense
14/05/2026,350.00,Housing,,Main account,Expense
14/05/2026,37.59,Food,,Main account,Expense
14/05/2026,19.46,Food,,Main account,Expense
14/05/2026,28.60,Food,,Main account,Expense
15/05/2026,65.00,Transportation,,Main account,Expense
15/05/2026,132.66,Extras,Amazon,Main account,Expense
15/05/2026,55.00,Transportation,,Main account,Expense
16/05/2026,66.00,Groceries,,Main account,Expense
16/05/2026,40.87,Extras,Haircut,Main account,Expense
16/05/2026,350.00,Housing,,Main account,Expense
17/05/2026,12.13,Transportation,,Main account,Expense
17/05/2026,36.00,Transportation,,Main account,Expense
17/05/2026,350.00,Housing,,Main account,Expense
18/05/2026,100.00,Groceries,,Main account,Expense
18/05/2026,234.33,Going out,,Main account,Expense
18/05/2026,30.74,Food,,Main account,Expense
19/05/2026,156.00,Groceries,,Main account,Expense
19/05/2026,56.32,Groceries,,Main account,Expense
19/05/2026,78.41,Transportation,,Main account,Expense
20/05/2026,350.00,Housing,,Main account,Expense
21/05/2026,350.00,Housing,,Main account,Expense
21/05/2026,18.15,Food,,Main account,Expense
21/05/2026,20.72,Food,,Main account,Expense
22/05/2026,45.47,Groceries,,Main account,Expense
22/05/2026,130.00,Groceries,,Main account,Expense
22/05/2026,250.00,Shopping,,Main account,Expense
23/05/2026,25.12,Extras,Robinhood,Main account,Expense
23/05/2026,450.00,Housing,,Main account,Expense
24/05/2026,38.00,Food,,Main account,Expense
24/05/2026,250.00,Utilities,Dewa,Main account,Expense
24/05/2026,66.06,Groceries,,Main account,Expense
24/05/2026,"6,000.00",Salary,,Main account,Income
24/05/2026,"10,000.00",Salary,FTI Delta,Main account,Income
25/05/2026,31.59,Food,,Main account,Expense
25/05/2026,190.46,Extras,Washing machine,Main account,Expense
25/05/2026,55.00,Utilities,Car wash,Main account,Expense
25/05/2026,102.18,Extras,Laundry duvets,Main account,Expense
26/05/2026,170.00,Transportation,,Main account,Expense
26/05/2026,120.00,Food,,Main account,Expense
26/05/2026,232.97,Going out,,Main account,Expense
26/05/2026,217.98,Extras,,Main account,Income
27/05/2026,99.00,Shopping,,Main account,Expense
27/05/2026,174.39,Going out,,Main account,Expense
28/05/2026,122.62,Going out,,Main account,Expense
28/05/2026,85.00,Transportation,,Main account,Expense
29/05/2026,56.00,Clothes,,Main account,Expense
29/05/2026,50.00,Shopping,,Main account,Expense
29/05/2026,25.00,Food,,Main account,Expense
